,comm-enrgy,fx-em,crypto,eq-em,eq-divf,fi-us,eq-vol,fx-dm,comm-soft,fi-eu,stir,comm-prec,eq-us,eq-eu,comm-base,eq-as,fi-as,Total,,,,,,
HWM PnL,1977431.668276506,2658060.0971302334,57282.000000000015,0.0,524734.5987999975,4796337.353370008,1127787.285469998,2830616.542336072,1086829.809546186,5622028.898089906,3622785.0388364573,1777519.30000003,0.0,153302.56516,0.0,0.0,1148024.994199939,23080123.76822326,,,,,,
Exposure Time,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,,,,,,
Daily PnL Skew,2.3763467323744942,2.2249754515432723,67.5379288284958,-52.22587039276955,14.78408357425177,2.1383774898709254,-0.1207302156403564,0.7595821250525796,0.15563142118381604,2.3390248242426606,2.9673466455856556,3.797178692760901,,36.377609983484696,,,5.658747520524214,2.209994085197116,,,,,,
Weekly PnL Skew,1.8472524896364821,1.3990076764242616,43.91941267929852,-33.831663138754756,14.824857593550766,1.4078642916276745,-1.6409859681760386,1.0552529246199234,0.07978223559491203,0.9012942557140785,2.552958566564604,3.1061770344003645,,33.03632558112003,,,3.1460290336514234,1.931539171004309,,,,,,
Monthly PnL Skew,1.4406676109455392,0.8389462201002436,23.26221042997086,-17.547560497266815,5.431962462550991,0.9727167954691056,-0.3842861980805056,1.3230111055398734,0.14385598327649485,1.6359871912126533,1.4839258610009372,1.8285861625041726,,17.013861701329983,,,2.085515512841598,1.6342048078032376,,,,,,
Quarterly PnL Skew,1.354123520974871,0.44399477547900457,13.455288512515702,-9.97673200939226,3.156532413342911,0.39112640519421676,0.35807274592622396,1.525076341504277,-0.05505851683128578,1.2280232555827388,1.1415762891676058,1.1613967469192616,,9.848131507043208,,,1.5659581277922066,0.8018542818676847,,,,,,
Yearly PnL Skew,0.7236449934038687,0.5258880776564516,6.511757613102559,-4.697342593502604,0.9728557117738201,0.7659241650482539,0.0439753209122153,0.9972072160545522,0.12669902277117245,0.2225687157994422,0.7428610604562357,0.8187066954596652,,4.763579028221034,,,0.3694990059737751,0.167175185604805,,,,,,
Daily Left Tail,44.450858772576154,49.52459018139913,0.22541792590854565,0.22541792590854565,0.22541792590854565,66.98812444501779,0.22541792590854565,84.30450757804586,63.58192845456127,71.91350050670641,71.74352333919019,5.508431926753121,,0.22541792590854565,,,177.88093938814015,28.572750575631705,,,,,,
Daily Right Tail,-48.91749841701399,-52.630542324898386,0.22541792590854556,0.22541792590854556,0.22541792590854556,-71.74237938653401,0.22541792590854556,-88.3815897572933,-69.30892606395203,-75.11823578266838,-70.54242595255222,-23.079458459573694,,0.22541792590854556,,,-127.62617566539633,-32.594201682302256,,,,,,
Weekly Left Tail,21.387285267081584,21.624833280977683,0.22541792590854565,0.22541792590854565,0.6997798944723974,31.577828021011925,99.30950221960184,35.45923125697099,23.94630435030322,34.48259138461291,31.28329469105138,18.47416389233253,,0.22541792590854565,,,93.83544690214498,3.2442098719113526,,,,,,
