,comm-soft,crypto,eq-em,comm-enrgy,eq-as,fi-us,eq-divf,fx-dm,eq-vol,fx-em,fi-eu,eq-us,eq-eu,stir,comm-prec,comm-base,fi-as,Total,,,,,,
Weekly Left Tail,23.94630435030322,0.22541792590854565,0.22541792590854565,21.38728526708171,,31.577828021011925,0.6997798944723974,35.45923125697098,99.30950221960184,21.62483328097779,36.29188099321533,,0.22541792590854565,31.283294691051513,18.47416389233254,,93.83544690214498,3.2080082458058223,,,,,,
Weekly Right Tail,-26.89789387537201,0.22541792590854556,0.22541792590854556,-23.574595054750798,,-36.530669043670635,0.22541792590854556,-37.13949919273481,-127.14785376230579,-27.265351360134936,-41.84765159421198,,0.22541792590854556,-34.37633404016702,-24.985814519648155,,-117.91258396403632,8.828112347426002,,,,,,
Monthly Left Tail,1.756357429874029,0.22541792590854565,0.22541792590854565,7.9026820174837145,,15.124309461925588,46.51887244057618,2.1105248425797636,69.29818768245413,9.315498895027792,15.795006871615099,,0.22541792590854565,11.44734481473622,10.65992579082042,,39.73005603460715,1.290244983913982,,,,,,
Monthly Right Tail,1.906940925765547,0.22541792590854556,0.22541792590854556,-12.306596102719809,,-21.166946145601894,-49.04004754864723,4.539285281470326,-68.95617008135622,-11.40916218275555,-20.869379735644355,,0.22541792590854556,-17.231666128969263,-13.788462209963932,,-61.124581241596694,4.846337777182542,,,,,,
Quarterly Left Tail,1.2653360109643843,0.22541792590854565,-17.32387554082601,1.4193227472986945,,1.5075469544233786,19.788450533289755,1.1511657925464736,43.316983291600366,5.1908807109897435,2.0168696551544483,,3.11586191888512,1.303634066087508,5.067246100882355,,1.55590620506554,1.2304849814611063,,,,,,
Quarterly Right Tail,1.3027951943263723,0.22541792590854556,0.22541792590854556,5.816782092953454,,3.285889264324224,-36.6009345130754,3.5684540296416993,-50.38475174683135,-6.417134218695039,8.94063753206131,,0.22541792590854556,4.703750029270011,-6.606005552885047,,-28.8637951752591,3.1821385793568675,,,,,,
Yearly Left Tail,1.253763838289289,0.22541792590854565,-6.381118543015985,0.858680382315162,,1.0411532684970168,6.56809886843356,0.9211438649030307,21.578688373540714,2.0903488544121216,1.4557125418897534,,7.8877527730853,0.8213044325147528,1.250430418861695,,1.0503259196759442,1.121352474370068,,,,,,
Yearly Right Tail,1.1817939158930229,-10.006051266718218,0.9164914521527668,2.167201765263414,,2.8731246671547392,-10.23968622550315,2.496135441826588,-20.768485320573046,3.2266923920720254,1.8884275402697774,,-18.43605451718801,2.4814513470467916,2.437985772759916,,1.7288615884581404,1.4711679182992494,,,,,,
Num_Trades,,,,,,,,,,,,,,,,,,5827.0,,,,,,
Hit Rate (%),,,,,,,,,,,,,,,,,,49.3049596704994,,,,,,
Average Win,,,,,,,,,,,,,,,,,,48401.76342867538,,,,,,
Average Loss,,,,,,,,,,,,,,,,,,-54075.11661541751,,,,,,
W/L ratio,,,,,,,,,,,,,,,,,,0.895083847398961,,,,,,
Total Wins,,,,,,,,,,,,,,,,,,2873.0,,,,,,
Total Losses,,,,,,,,,,,,,,,,,,2953.0,,,,,,
Total PnL Winners,,,,,,,,,,,,,,,,,,139058266.33058438,,,,,,
Total PnL Losers,,,,,,,,,,,,,,,,,,-159683819.3653279,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,0.8708350469276042,,,,,,
PnL Skew,,,,,,,,,,,,,,,,,,-0.7011872304503711,,,,,,
Trade EV,,,,,,,,,,,,,,,,,,-3539.6521425679675,,,,,,
Best Trade,,,,,,,,,,,,,,,,,,382793.0039999995,,,,,,
Worst Trade,,,,,,,,,,,,,,,,,,-750296.1557999995,,,,,,
25p Trade,,,,,,,,,,,,,,,,,,-36706.017900000974,,,,,,
50p Trade,,,,,,,,,,,,,,,,,,-817.6623500146779,,,,,,
75p Trade,,,,,,,,,,,,,,,,,,33205.59999999961,,,,,,
Pareto Number (%),,,,,,,,,,,,,,,,,,0.15445340655568904,,,,,,
