Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL,My ret (%),Joachim ret (%),slippage,cum slippage,joachim ent,joachim ext
6e49c6f6d9_NQ1Ind_246,NASDAQ 100 E-MINI,NQ1 Index,15/12/2011,21/12/2011,3911,3952,66956320,856,756135,,,,,,
6e49c6f6d9_NQ1Ind_247,NASDAQ 100 E-MINI,NQ1 Index,27/01/2012,02/02/2012,4135.75,4171,182303860,2204,1759805,,,,,,
6e49c6f6d9_NQ1Ind_248,NASDAQ 100 E-MINI,NQ1 Index,07/03/2012,09/03/2012,4272,4323,155671680,1822,1817760,,,,,,
6e49c6f6d9_NQ1Ind_249,NASDAQ 100 E-MINI,NQ1 Index,23/03/2012,27/03/2012,4419.5,4464,159809120,1808,1632985,,,,,,
6e49c6f6d9_NQ1Ind_250,NASDAQ 100 E-MINI,NQ1 Index,30/03/2012,03/04/2012,4446.5,4465.25,143533020,1614,606000,,,,,,
6e49c6f6d9_NQ1Ind_251,NASDAQ 100 E-MINI,NQ1 Index,09/04/2012,13/04/2012,4442,4426.75,143743120,1618,-424940,,,,,,
6e49c6f6d9_NQ1Ind_252,NASDAQ 100 E-MINI,NQ1 Index,23/04/2012,26/04/2012,4362.5,4392.75,104089250,1193,898075,,,,,,
6e49c6f6d9_NQ1Ind_253,NASDAQ 100 E-MINI,NQ1 Index,07/05/2012,22/05/2012,4313.75,4233,84635775,981,-1089710,,,,,,
6e49c6f6d9_NQ1Ind_254,NASDAQ 100 E-MINI,NQ1 Index,04/06/2012,06/06/2012,4143.25,4178.5,81290565,981,692540,,,,,,
6e49c6f6d9_NQ1Ind_255,NASDAQ 100 E-MINI,NQ1 Index,10/07/2012,16/07/2012,4300,4271.25,78776000,916,-501425,,,,,,
6e49c6f6d9_NQ1Ind_256,NASDAQ 100 E-MINI,NQ1 Index,25/07/2012,27/07/2012,4242.5,4266.75,81625700,962,492225,,,,,,
6e49c6f6d9_NQ1Ind_257,NASDAQ 100 E-MINI,NQ1 Index,23/08/2012,29/08/2012,4475.25,4476,140075325,1565,19395,,,,,,
6e49c6f6d9_NQ1Ind_258,NASDAQ 100 E-MINI,NQ1 Index,12/09/2012,14/09/2012,4473.5,4521.5,144762460,1618,1536700,,,,,,
6e49c6f6d9_NQ1Ind_259,NASDAQ 100 E-MINI,NQ1 Index,20/09/2012,28/09/2012,4554.5,4515.5,138183530,1517,-481960,,,,,,
6e49c6f6d9_NQ1Ind_260,NASDAQ 100 E-MINI,NQ1 Index,03/10/2012,04/10/2012,4496.25,4510,117981600,1312,358875,,,,,,
6e49c6f6d9_NQ1Ind_261,NASDAQ 100 E-MINI,NQ1 Index,11/10/2012,16/10/2012,4423.75,4433.5,125280600,1416,331440,,,,,,
6e49c6f6d9_NQ1Ind_262,NASDAQ 100 E-MINI,NQ1 Index,01/11/2012,02/11/2012,4341.5,4387,111663380,1286,1075620,,,,,,
6e49c6f6d9_NQ1Ind_263,NASDAQ 100 E-MINI,NQ1 Index,12/11/2012,16/11/2012,4281.5,4223.75,87085710,1017,-1192000,,,,,,
6e49c6f6d9_NQ1Ind_264,NASDAQ 100 E-MINI,NQ1 Index,24/12/2012,31/12/2012,4367.25,4297,121933620,1396,-2064345,,,,,,
6e49c6f6d9_NQ1Ind_265,NASDAQ 100 E-MINI,NQ1 Index,09/01/2013,11/01/2013,4420.75,4449.25,86381455,977,563160,,,,,,
